$00:0500  NMI_RamTrampoline
$C0:653B  Store_VarWord_FromVarTableWord
$C0:654E  Store_VarWord_From7F0000_IndexedWord
$C0:6568  Test_CurrentSlot_Var0A80_EqualsImm16
$C0:658F  Store_VarWord_From_Global7E2980
$C0:65AA  Store_TwoVars_FromTargetSlot_PosXY
$C0:65EB  Store_TwoVars_FromMappedTargetSlot_PosXY
$C0:65F8  Store_VarWord_FromTargetSlot_Facing
$C0:661F  Store_VarWord_FromMappedTargetSlot_Facing
$C0:662C  Test_TargetSlot_Flag0F00_Nonzero_SkipIfFalse
$C0:6655  Test_TargetSlot_Near_Global1D0A1D0E_SkipIfFalse
$C0:66A5  Test_Global00F8Or00F9_AnySet_SkipIfFalse
$C0:66B2  Test_Global00F8_Bit02_SkipIfFalse
$C0:66BC  Test_Global00F8_Bit80_SkipIfFalse
$C0:66C6  Test_Global00F2_Bit80_SkipIfFalse
$C0:66E5  Test_Global00F2_Bit08_SkipIfFalse
$C0:66EF  Test_Global00F2_Bit40_SkipIfFalse
$C0:66F9  Test_Global00F2_Bit04_SkipIfFalse
$C0:6705  Test_Global00F2_Bit20_SkipIfFalse
$C0:670F  Test_Global00F2_Bit10_SkipIfFalse
$C0:6719  Consume_Flag50_Bit02_IfSet
$C0:6724  Consume_Flag50_Bit80_IfSet
$C0:6732  Consume_Flag51_Bit80_IfSet
$C0:6DCF  DescriptorDecompress_Group0002_To7F5000
$C0:7084  DescriptorLoader_Group_0003_RecordCopy
$C0:7F7E  Clear_LowWram_1D00_1DFF
$C0:A33B  DescriptorDecompress_DisplayConfig_To7EB500_AndParse
$C0:A50A  Apply_DisplayConfig_ToPpu
$C0:A520  Read_DisplayBuffers_FromWramPort
$C0:B192  Clear_1B00_WordTable_ThenBranchE935
$C0:B1B2  Process_VramDmaQueue
$C3:0002  DecompressToWram_Core
$C3:0557  DecompressToWram_LZCore
$C3:08A4  DecompressToWram_ReturnLength
$FD:E2C0  Build_0520DescriptorTable_FromFDFA77
$FD:E64F  Apply_PaletteScale_To7E2200
$FD:E8D7  Apply_PaletteBrightenBlend_To7E2200
$C0:EA63  Native_NMI_Handler_Entry
$C0:ECCC  Native_IRQ_Handler_Entry
$FD:E3AC  Update_0520PaletteFxDescriptor
$FD:E437  Apply_PaletteAnimFrame_FromF6PresetTable
$FD:E485  Apply_PaletteAnimFrame_FromLongPtr
$FD:E4E8  Rotate_PaletteSegmentRight_2000_2200
$FD:E532  Rotate_PaletteSegmentLeft_2000_2200
$FD:E57C  Step_PaletteScaleTransform_Family7x
$FD:E5A4  Apply_PaletteScaleTransform_Family5x
$FD:E807  Step_PaletteBrightenTransform_Family6x
$FD:E82C  Apply_PaletteBrightenTransform_Family4x
$FD:E6A1  Apply_PaletteScale_HighFieldOnly_To7E2200
$FD:E6D1  Apply_PaletteScale_MidFieldOnly_To7E2200
$FD:E708  Apply_PaletteScale_LowFieldOnly_To7E2200
$FD:E737  Apply_PaletteScale_HighAndLowFields_To7E2200
$FD:E779  Apply_PaletteScale_LowAndMidFields_To7E2200
$FD:E7C0  Apply_PaletteScale_HighAndMidFields_To7E2200
$FD:E935  Apply_PaletteBrighten_HighFieldOnly_To7E2200
$FD:E962  Apply_PaletteBrighten_LowFieldOnly_To7E2200
$FD:E98F  Apply_PaletteBrighten_MidFieldOnly_To7E2200
$FD:E9CA  Apply_PaletteBrighten_HighAndLowFields_To7E2200
$FD:EA11  Apply_PaletteBrighten_HighAndMidFields_To7E2200
$FD:EA5C  Apply_PaletteBrighten_LowAndMidFields_To7E2200
